axon development	4.348148397338663e-17	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0053202,FBgn0085443,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0061564
neuron development	1.635140965177278e-16	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011829,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0052423,FBgn0053202,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0265487,FBgn0266521,FBgn0267001	GO:0048666
cell communication	4.302359269197503e-16	FBgn0000024,FBgn0000038,FBgn0000273,FBgn0000395,FBgn0000723,FBgn0002643,FBgn0003380,FBgn0003463,FBgn0003984,FBgn0004168,FBgn0004244,FBgn0004449,FBgn0004514,FBgn0004839,FBgn0004841,FBgn0004852,FBgn0004885,FBgn0010329,FBgn0011582,FBgn0011706,FBgn0011829,FBgn0015380,FBgn0015400,FBgn0015519,FBgn0015591,FBgn0015609,FBgn0015946,FBgn0016797,FBgn0019985,FBgn0024277,FBgn0025638,FBgn0025833,FBgn0028875,FBgn0029082,FBgn0029768,FBgn0029939,FBgn0030208,FBgn0030230,FBgn0030897,FBgn0032840,FBgn0033058,FBgn0033438,FBgn0033744,FBgn0033791,FBgn0033876,FBgn0034072,FBgn0034136,FBgn0034720,FBgn0035101,FBgn0035331,FBgn0035538,FBgn0035733,FBgn0035756,FBgn0035802,FBgn0036165,FBgn0036368,FBgn0036732,FBgn0036790,FBgn0036921,FBgn0037015,FBgn0037408,FBgn0037546,FBgn0038436,FBgn0038542,FBgn0039054,FBgn0040752,FBgn0041094,FBgn0041605,FBgn0051183,FBgn0051660,FBgn0051665,FBgn0052183,FBgn0053531,FBgn0083963,FBgn0083975,FBgn0085370,FBgn0085387,FBgn0085407,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0086778,FBgn0250910,FBgn0259145,FBgn0259171,FBgn0260003,FBgn0260660,FBgn0261549,FBgn0261560,FBgn0261588,FBgn0261988,FBgn0262473,FBgn0262593,FBgn0262656,FBgn0262733,FBgn0263257,FBgn0263706,FBgn0263930,FBgn0263995,FBgn0264006,FBgn0264386,FBgn0264606,FBgn0264707,FBgn0264815,FBgn0264895,FBgn0265416,FBgn0266101,FBgn0266137,FBgn0267001	GO:0007154
axonogenesis	6.23478847503063e-16	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0053202,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0007409
neuron differentiation	1.3599374839818214e-15	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011829,FBgn0013433,FBgn0013469,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0027339,FBgn0029082,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0052423,FBgn0053202,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0260941,FBgn0261046,FBgn0261588,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0265487,FBgn0266521,FBgn0267001	GO:0030182
generation of neurons	1.508344312708684e-15	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011829,FBgn0013433,FBgn0013469,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0027339,FBgn0029082,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0052423,FBgn0053202,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0260941,FBgn0261046,FBgn0261588,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0265487,FBgn0266521,FBgn0267001	GO:0048699
signaling	2.3886345508243165e-15	FBgn0000024,FBgn0000038,FBgn0000273,FBgn0000395,FBgn0000723,FBgn0002643,FBgn0003380,FBgn0003463,FBgn0003984,FBgn0004168,FBgn0004244,FBgn0004449,FBgn0004514,FBgn0004839,FBgn0004841,FBgn0004852,FBgn0004885,FBgn0010329,FBgn0011582,FBgn0011706,FBgn0011829,FBgn0015380,FBgn0015400,FBgn0015519,FBgn0015591,FBgn0015946,FBgn0016797,FBgn0019985,FBgn0024277,FBgn0025638,FBgn0025833,FBgn0028875,FBgn0029082,FBgn0029768,FBgn0029939,FBgn0030208,FBgn0030230,FBgn0030897,FBgn0032840,FBgn0033058,FBgn0033438,FBgn0033744,FBgn0033791,FBgn0033876,FBgn0034072,FBgn0034136,FBgn0035101,FBgn0035331,FBgn0035538,FBgn0035733,FBgn0035756,FBgn0035802,FBgn0036165,FBgn0036368,FBgn0036732,FBgn0036790,FBgn0036921,FBgn0037015,FBgn0037408,FBgn0037546,FBgn0038436,FBgn0038542,FBgn0039054,FBgn0040752,FBgn0041094,FBgn0041605,FBgn0051183,FBgn0051660,FBgn0051665,FBgn0052183,FBgn0053531,FBgn0083963,FBgn0083975,FBgn0085370,FBgn0085387,FBgn0085407,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0086778,FBgn0250910,FBgn0259145,FBgn0259171,FBgn0260003,FBgn0260660,FBgn0261549,FBgn0261560,FBgn0261988,FBgn0262473,FBgn0262593,FBgn0262656,FBgn0262733,FBgn0263257,FBgn0263706,FBgn0263930,FBgn0263995,FBgn0264006,FBgn0264386,FBgn0264606,FBgn0264707,FBgn0264815,FBgn0264895,FBgn0265416,FBgn0266101,FBgn0266137,FBgn0267001	GO:0023052
taxis	4.011805004155884e-15	FBgn0000636,FBgn0000723,FBgn0001981,FBgn0003300,FBgn0003996,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011582,FBgn0013433,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0052423,FBgn0053202,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261549,FBgn0261588,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0263930,FBgn0264006,FBgn0265194,FBgn0267001	GO:0042330
neuron projection development	7.195746292702894e-15	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011829,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0040752,FBgn0053202,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0266521,FBgn0267001	GO:0031175
cell junction organization	1.5122814341246837e-14	FBgn0004449,FBgn0004509,FBgn0010105,FBgn0010415,FBgn0015380,FBgn0016797,FBgn0019985,FBgn0023095,FBgn0024189,FBgn0024277,FBgn0028369,FBgn0030723,FBgn0030897,FBgn0031837,FBgn0033438,FBgn0034286,FBgn0034720,FBgn0035170,FBgn0037015,FBgn0037908,FBgn0039431,FBgn0039617,FBgn0040726,FBgn0040752,FBgn0040823,FBgn0041605,FBgn0051708,FBgn0052791,FBgn0053202,FBgn0083963,FBgn0083975,FBgn0085387,FBgn0085414,FBgn0085420,FBgn0086677,FBgn0259245,FBgn0261560,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0264606,FBgn0265416,FBgn0266521,FBgn0267001	GO:0034330
multicellular organismal process	1.6130887184692613e-14	FBgn0000038,FBgn0000042,FBgn0000114,FBgn0000273,FBgn0000395,FBgn0000636,FBgn0000723,FBgn0001180,FBgn0001226,FBgn0001981,FBgn0002643,FBgn0003285,FBgn0003300,FBgn0003380,FBgn0003463,FBgn0003984,FBgn0003996,FBgn0004168,FBgn0004244,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004514,FBgn0004839,FBgn0004852,FBgn0004870,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010317,FBgn0010329,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011582,FBgn0011706,FBgn0011710,FBgn0011829,FBgn0013433,FBgn0013469,FBgn0013732,FBgn0013753,FBgn0014163,FBgn0015229,FBgn0015380,FBgn0015519,FBgn0015591,FBgn0015609,FBgn0015946,FBgn0016061,FBgn0016797,FBgn0019985,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024189,FBgn0024277,FBgn0025638,FBgn0026144,FBgn0026239,FBgn0027339,FBgn0028369,FBgn0028704,FBgn0028875,FBgn0029082,FBgn0029768,FBgn0029939,FBgn0030362,FBgn0030520,FBgn0030723,FBgn0031285,FBgn0032010,FBgn0032741,FBgn0032840,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034136,FBgn0034286,FBgn0034408,FBgn0034636,FBgn0034720,FBgn0034753,FBgn0034877,FBgn0035101,FBgn0035170,FBgn0035331,FBgn0035538,FBgn0035802,FBgn0036165,FBgn0036732,FBgn0036801,FBgn0037408,FBgn0037908,FBgn0038071,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0038755,FBgn0039054,FBgn0039431,FBgn0039617,FBgn0040726,FBgn0040752,FBgn0040823,FBgn0041094,FBgn0041605,FBgn0042185,FBgn0050463,FBgn0051163,FBgn0051660,FBgn0051665,FBgn0051774,FBgn0052423,FBgn0053202,FBgn0053207,FBgn0053531,FBgn0083963,FBgn0083975,FBgn0085387,FBgn0085407,FBgn0085412,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0086778,FBgn0260003,FBgn0260660,FBgn0260941,FBgn0261046,FBgn0261549,FBgn0261560,FBgn0261574,FBgn0261588,FBgn0261648,FBgn0261988,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262477,FBgn0262593,FBgn0262656,FBgn0262733,FBgn0263102,FBgn0263392,FBgn0263706,FBgn0263873,FBgn0263930,FBgn0263995,FBgn0264006,FBgn0264386,FBgn0264606,FBgn0264815,FBgn0265416,FBgn0265487,FBgn0265598,FBgn0266137,FBgn0266521,FBgn0267001,FBgn0267337,FBgn0267728,FBgn0284250	GO:0032501
neurogenesis	2.1911554239821638e-14	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011829,FBgn0013433,FBgn0013469,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0027339,FBgn0029082,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0052423,FBgn0053202,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0260941,FBgn0261046,FBgn0261588,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0265487,FBgn0266521,FBgn0267001	GO:0022008
axon guidance	3.31481543768191e-14	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0053202,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263930,FBgn0264006,FBgn0267001	GO:0007411
chemotaxis	4.073736780706803e-14	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0053202,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0263930,FBgn0264006,FBgn0267001	GO:0006935
synapse organization	6.628885872141201e-14	FBgn0004449,FBgn0004509,FBgn0010105,FBgn0010415,FBgn0015380,FBgn0016797,FBgn0019985,FBgn0023095,FBgn0024277,FBgn0030723,FBgn0030897,FBgn0031837,FBgn0034286,FBgn0034720,FBgn0035170,FBgn0037015,FBgn0037908,FBgn0039431,FBgn0039617,FBgn0040726,FBgn0040752,FBgn0040823,FBgn0041605,FBgn0051708,FBgn0052791,FBgn0053202,FBgn0083963,FBgn0083975,FBgn0085414,FBgn0085420,FBgn0086677,FBgn0259245,FBgn0261560,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0264606,FBgn0265416,FBgn0266521,FBgn0267001	GO:0050808
nervous system development	8.344084060664015e-14	FBgn0000273,FBgn0000636,FBgn0000723,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0003984,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0011706,FBgn0011829,FBgn0013433,FBgn0013469,FBgn0014163,FBgn0015229,FBgn0015380,FBgn0015609,FBgn0015946,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0027339,FBgn0029082,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0041605,FBgn0052423,FBgn0053202,FBgn0083963,FBgn0083975,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0260941,FBgn0261046,FBgn0261588,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0264606,FBgn0265487,FBgn0266521,FBgn0267001	GO:0007399
neuron projection guidance	1.0259830645555198e-13	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0053202,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263930,FBgn0264006,FBgn0267001	GO:0097485
cell-cell adhesion	1.1070824804717425e-13	FBgn0000180,FBgn0000636,FBgn0003285,FBgn0004449,FBgn0004456,FBgn0010473,FBgn0013433,FBgn0015229,FBgn0015609,FBgn0021764,FBgn0023095,FBgn0024189,FBgn0028369,FBgn0029082,FBgn0035101,FBgn0037963,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0083963,FBgn0083975,FBgn0261046,FBgn0261574,FBgn0262018,FBgn0262733,FBgn0267001	GO:0098609
cell morphogenesis involved in neuron differentiation	1.5774641363973483e-13	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0040752,FBgn0053202,FBgn0085443,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0048667
neuron projection morphogenesis	2.800419339658552e-13	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0040752,FBgn0053202,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0048812
cell projection morphogenesis	3.354969988768183e-13	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0040752,FBgn0053202,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0048858
plasma membrane bounded cell projection morphogenesis	3.354969988768183e-13	FBgn0000636,FBgn0000723,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004839,FBgn0004885,FBgn0005636,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0010473,FBgn0013433,FBgn0014163,FBgn0015380,FBgn0015609,FBgn0016061,FBgn0016797,FBgn0020294,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0027339,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035802,FBgn0038087,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039617,FBgn0040752,FBgn0053202,FBgn0085443,FBgn0085447,FBgn0086677,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262018,FBgn0262733,FBgn0263873,FBgn0263930,FBgn0264006,FBgn0267001	GO:0120039
